segmentnr	original	stemmed
BO_K12_D0686-2_H0689-2:97a-20	dngos grub bla med bshad par bya //	dngos grub bla med chad ba byed 
BO_K12_D0686-2_H0689-2:97a-21	aom aa mo gha hri da ya /	aom aa mo gha hri da ya 
BO_K12_D0686-2_H0689-2:97a-22	padmoshn'i sha a'a karsha ya /	padmoshn sha aa karsha ya 
BO_K12_D0686-2_H0689-2:97b-0	s'a dha @97b ya; bha ra sam bha ra /	sa dha ya; bha ra sam bha ra 
BO_K12_D0686-2_H0689-2:97b-1	ma h'a padme sv'ah'a /	ma ha padme svaha 
BO_K12_D0686-2_H0689-2:97b-2	bskul ba dang / spyan drang ba dang / gshegs su gsol ba'i sngags so //	skul ba dang spyan dren ba dang gshegs su gsol ba sngags so 
BO_K12_D0686-2_H0689-2:97b-3	aom padmoshn'i sha aa mo gha manda le h'um/	aom padmoshn sha aa mo gha manda le 
BO_K12_D0686-2_H0689-2:97b-4	dkyil 'khor srung ba dang / phyogs bcings ba dang / mtshams bcad pa dang / dri chab dang / chu dang / yungs kar bsres pa la lan bdun bzlas brjod byas pas bya'o //	dkyil khor srung ba dang phyogs ching ba dang mtshams gcod ba dang dri chab dang chu dang yungs kar bsres ba la lan bdun bzlas rjod byed ba byed 
BO_K12_D0686-2_H0689-2:97b-5	aom padma shi kha re h'um/	aom padma chi kha re 
BO_K12_D0686-2_H0689-2:97b-6	spyi gtsug bcing ba yin te /	spyi gtsug ching ba yin te 
BO_K12_D0686-2_H0689-2:97b-7	lan bdun bzlas brjod byas pas so //	lan bdun bzlas rjod byed ba so 
BO_K12_D0686-2_H0689-2:97b-8	aom padmoshin'i aa mo gha dza le h'um/	aom padmoshin aa mo gha dza le 
BO_K12_D0686-2_H0689-2:97b-9	khrus bya ba'i sngags te /	khru byed ba sngags te 
BO_K12_D0686-2_H0689-2:97b-10	yungs kar dang / chu la lan bdun bzlas brjod byas pas so //	yungs kar dang chu la lan bdun bzlas rjod byed ba so 
BO_K12_D0686-2_H0689-2:97b-11	aom bi ma le shuddhe h'um; nye reg bya ba'i sngags so //	aom bi ma le shuddhe hum; nye reg byed ba sngags so 
BO_K12_D0686-2_H0689-2:97b-12	aom samtstsha da ya padme h'um/	aom samtstsha da ya padme 
BO_K12_D0686-2_H0689-2:97b-13	gos bgo ba'i sngags so //	gos bgod ba sngags so 
BO_K12_D0686-2_H0689-2:97b-14	aom mi li mi li shuddhe h'um/	aom mi li mi li shuddhe 
BO_K12_D0686-2_H0689-2:97b-15	lus yongs su sbyang ba'i sngags te /	lus yongs su sbyong ba sngags te 
BO_K12_D0686-2_H0689-2:97b-16	ba'i rnam lnga'i chu la lan bdun bzlas brjod byas pas so //	ba rnam lnga chu la lan bdun bzlas rjod byed ba so 
BO_K12_D0686-2_H0689-2:97b-17	aom padmo shn'i sha aa mo gha aa bhi shi nytsa a'a tam shuddhe h'um/	aom padmo shn sha aa mo gha aa bhi chi nytsa aa tam shuddhe 
BO_K12_D0686-2_H0689-2:97b-18	dbang bskur ba'i sngags te /	dbang skur ba sngags te 
