segmentnr	original	folio	stemmed
BO_K08_D0056_H0056:113b-8	yang dag pa'i lta ba dang / yang dag pa'i rtog pa dang / yang dag pa'i ngag dang / yang dag pa'i las kyi mtha' dang / yang dag pa'i 'tsho ba dang / yang dag pa'i rtsol ba dang / yang dag pa'i dran pa dang /	113b	yang dag ba lta ba dang yang dag ba rtogs ba dang yang dag ba ngag dang yang dag ba las kyi mtha dang yang dag ba tsho ba dang yang dag ba rtsol ba dang yang dag ba dran ba dang 
BO_K08_D0056_H0056:113b-9	yang dag pa'i ting nge 'dzin te /	113b	yang dag ba ting nge dzin te 
BO_K08_D0056_H0056:113b-10	'di brgyad kyang gong ma bzhin no //	113b	di brgyad kyang gong ma bzhin no 
BO_K08_D0056_H0056:113b-11	mchog tu dga' ba'i rtsa ba las skyes pa'i chos dgu ste /	113b	mchog tu dga ba rtsa ba las skye ba chos dgu ste 
BO_K08_D0056_H0056:113b-12	dgu gang zhe na /	113b	dgu gang zhe na 
BO_K08_D0056_H0056:113b-13	'di lta ste /	113b	di lta ste 
BO_K08_D0056_H0056:113b-14	mchog tu dga' ba dang / dga' ba dang / shin tu sbyangs pa dang / bde ba dang / ting nge 'dzin dang / yang dag pa ji lta ba bzhin du ye shes mthong ba dang / mya ngan las 'das pa dang / 'dod chags dang bral ba dang /	113b	mchog tu dga ba dang dga ba dang shin tu sbyong ba dang bde ba dang ting nge dzin dang yang dag ba ji lta ba bzhin du ye shes mthong ba dang mya ngan las da ba dang dod chags dang bral ba dang 
BO_K08_D0056_H0056:113b-15	rnam par grol ba ste /	113b	rnam ba grol ba ste 
BO_K08_D0056_H0056:113b-16	'di dgu yang gong ma bzhin no //	113b	di dgu yang gong ma bzhin no 
BO_K08_D0056_H0056:113b-17	nges par 'byung ba'i chos bcu ste /	113b	nges ba byung ba chos chu ste 
BO_K08_D0056_H0056:113b-18	bcu gang zhe na /	113b	chu gang zhe na 
BO_K08_D0056_H0056:113b-19	'di lta ste /	113b	di lta ste 
BO_K08_D0056_H0056:113b-20	dge ba bcu'i las kyi lam mo //	113b	dge ba chu las kyi lam mo 
BO_K08_D0056_H0056:113b-21	'di lta ste /	113b	di lta ste 
BO_K08_D0056_H0056:114a-0	srog gcod pa spangs pa dang / ma byin par len pa spangs pa dang / 'dod pa la log par g-yem pa spangs pa dang / brdzun du smra ba spangs pa dang / phra ma @114a *//	114a	srog gcod ba spong ba dang ma byin ba len ba spong ba dang dod ba la log ba g-yem ba spong ba dang brdzun du smra ba spong ba dang phra ma 
BO_K08_D0056_H0056:114a-1	spangs pa dang / ngag rtsub po spangs pa dang / tshil kyal pa spang pa dang / brnab sems spangs pa dang / gnod sems med pa dang / yang dag par lta ba ste /	114a	spong ba dang ngag rtsub po spong ba dang tshil kyal ba spong ba dang rnab sems spong ba dang gnod sems med ba dang yang dag ba lta ba ste 
BO_K08_D0056_H0056:114a-2	'di yang gong ma bzhin te /	114a	di yang gong ma bzhin te 
BO_K08_D0056_H0056:114a-3	lam de ni /	114a	lam de ni 
BO_K08_D0056_H0056:114a-4	nges par 'byung bar 'gyur ro //	114a	nges ba byung ba gyur ro 
BO_K08_D0056_H0056:114a-5	'di ltar sh'a ri'i bu /	114a	di ltar sha ri bu 
BO_K08_D0056_H0056:114a-6	byang chub kyi phyogs kyi chos kyi dge ba ji snyed pa /	114a	byang chub kyi phyogs kyi chos kyi dge ba ji snyed ba 
BO_K08_D0056_H0056:114a-7	tshul khrims kyi phung po dang ldan pa'am /	114a	tshul khrims kyi phung po dang ldan ba 
BO_K08_D0056_H0056:114a-8	ting nge 'dzin gyi phung po dang ldan pa'am /	114a	ting nge dzin gyi phung po dang ldan ba 
BO_K08_D0056_H0056:114a-9	shes rab kyi phung po dang ldan pa'am /	114a	shes rab kyi phung po dang ldan ba 
BO_K08_D0056_H0056:114a-10	rnam par grol ba'i phung po dang ldan pa'am /	114a	rnam ba grol ba phung po dang ldan ba 
BO_K08_D0056_H0056:114a-11	rnam par grol ba'i ye shes mthong ba'i phung po dang ldan pa'am /	114a	rnam ba grol ba ye shes mthong ba phung po dang ldan ba 
BO_K08_D0056_H0056:114a-12	'phags pa'i bden pa dang ldan pa de dag kyang nges par 'byung ba'i lam zhes bya'o //	114a	phag ba bden ba dang ldan ba de dag kyang nges ba byung ba lam zhes byed 
BO_K08_D0056_H0056:114a-13	gzhan yang nges par 'byung ba zhes pa ni /	114a	gzhan yang nges ba byung ba zhes ba ni 
BO_K08_D0056_H0056:114a-14	yang dag par sgrub pa gang yin pa ste /	114a	yang dag ba sgrub ba gang yin ba ste 
BO_K08_D0056_H0056:114a-15	gang yang dag par sgrub pa de la ni /	114a	gang yang dag ba sgrub ba de la ni 
BO_K08_D0056_H0056:114a-16	chos gang yang gsog pa'am /	114a	chos gang yang gsog ba 
BO_K08_D0056_H0056:114a-17	'bri ba'am / blang ba'am /	114a	bri ba blang ba 
BO_K08_D0056_H0056:114a-18	dor ba'am / gzung ba'am /	114a	dor ba gzung ba 
BO_K08_D0056_H0056:114a-19	spang ba med do /	114a	spong ba med do 
BO_K08_D0056_H0056:114a-20	de ci'i phyir zhe na /	114a	de ci phyir zhe na 
BO_K08_D0056_H0056:114a-21	yang dag par sgrub pa la zhugs pa ni /	114a	yang dag ba sgrub ba la jug ba ni 
BO_K08_D0056_H0056:114a-22	gnyis la blo mi 'jug ste /	114a	gnyis la blo mi jug ste 
